pattern,quality,pattern_accuracy,support,class_balance,p_value,corrected_p,is_sig,global_accuracy
"[{'B'}, {'C'}]",1.0381889938873403,0.6,50,"{0.0: 25, 1.0: 25}",0.000999000999000999,0.001998001998001998,True,0.8990033222591363
[{'W'}],0.7360011406935543,0.8487654320987654,324,"{1.0: 148, 0.0: 176}",0.008991008991008992,0.008991008991008992,True,0.8990033222591363
