pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'T'}, {'A'}, {'B'}, {'C'}]",0.8766544182500358,0.6018518518518519,21,"{1.0: 9, 0.0: 12}",0.000999000999000999,0.008325008325008326,True,0.9006222919321635
"[{'Z'}, {'Y'}, {'T'}, {'Z'}]",0.7687357585658364,0.65,28,"{0.0: 18, 1.0: 10}",0.002997002997002997,0.014985014985014984,True,0.9006222919321635
"[{'U'}, {'T'}, {'P'}, {'U'}]",0.6541308945141798,0.6787878787878787,26,"{1.0: 15, 0.0: 11}",0.000999000999000999,0.008325008325008326,True,0.9006222919321635
"[{'Z'}, {'O'}, {'V'}, {'Y'}]",0.6179018461340609,0.6904761904761905,26,"{1.0: 12, 0.0: 14}",0.004995004995004995,0.02140716426430712,True,0.9006222919321635
"[{'W'}, {'Z'}, {'U'}, {'V'}]",0.6150339096375539,0.709090909090909,37,"{0.0: 22, 1.0: 15}",0.000999000999000999,0.008325008325008326,True,0.9006222919321635
"[{'X'}, {'Y'}, {'M'}, {'V'}]",0.5636529792706425,0.7128205128205128,28,"{1.0: 13, 0.0: 15}",0.007992007992007992,0.022036786742669096,True,0.9006222919321635
"[{'Y'}, {'Z'}]",0.5481372702503136,0.8762957778450363,920,"{1.0: 448, 0.0: 472}",0.006993006993006993,0.021853146853146852,True,0.9006222919321635
"[{'W'}, {'Z'}]",0.547944039821594,0.8765253547862245,941,"{0.0: 460, 1.0: 481}",0.001998001998001998,0.0111000111000111,True,0.9006222919321635
"[{'P'}, {'Z'}]",0.5459988340883355,0.8774422247258936,935,"{1.0: 482, 0.0: 453}",0.001998001998001998,0.0111000111000111,True,0.9006222919321635
"[{'X'}, {'P'}, {'X'}, {'N'}]",0.5438029201205836,0.7129629629629629,24,"{1.0: 18, 0.0: 6}",0.016983016983016984,0.022950022950022953,True,0.9006222919321635
"[{'P'}, {'W'}]",0.5432766722374036,0.8786102616377847,895,"{0.0: 436, 1.0: 459}",0.012987012987012988,0.022036786742669096,True,0.9006222919321635
"[{'Y'}, {'U'}]",0.5419180337714071,0.8791801222343805,866,"{0.0: 445, 1.0: 421}",0.014985014985014986,0.022036786742669096,True,0.9006222919321635
"[{'P'}, {'Z'}, {'V'}]",0.5391583493709453,0.816593028964163,202,"{1.0: 97, 0.0: 105}",0.000999000999000999,0.008325008325008326,True,0.9006222919321635
"[{'P'}, {'T'}, {'W'}, {'N'}]",0.5367860054513357,0.7070707070707071,20,"{1.0: 9, 0.0: 11}",0.013986013986013986,0.022036786742669096,True,0.9006222919321635
"[{'Y'}, {'T'}]",0.5366089397173022,0.8826426269992862,911,"{1.0: 443, 0.0: 468}",0.026973026973026972,0.03211074639646068,True,0.9006222919321635
"[{'P'}, {'W'}, {'Z'}]",0.5363761671529177,0.8189953566905868,218,"{0.0: 103, 1.0: 115}",0.000999000999000999,0.008325008325008326,True,0.9006222919321635
"[{'Z'}, {'V'}]",0.5346166267930408,0.8839476284584981,900,"{1.0: 440, 0.0: 460}",0.03396603396603397,0.03859776587049314,True,0.9006222919321635
"[{'W'}, {'U'}]",0.5333483265435359,0.8848434677904877,893,"{0.0: 440, 1.0: 453}",0.03796203796203796,0.04218004218004218,True,0.9006222919321635
