pattern,quality,pattern_accuracy,support,class_balance,p_value,corrected_p,is_sig,global_accuracy
"[{'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}, {'STAY_0_0'}, {'W_1_0'}]",1.1379735005339504,0.7196969696969697,132,"{0.0: 67, 1.0: 65}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'S_0_1'}, {'E_1_0'}, {'W_1_0'}]",0.43815368621423445,0.8266666666666667,150,"{0.0: 32, 1.0: 118}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'NE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'STAY_0_0'}, {'NE_1_1'}]",0.4116720420476,0.8583690987124464,233,"{0.0: 96, 1.0: 137}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'NE_1_1'}, {'E_1_0'}, {'NE_1_1'}, {'W_1_0'}, {'SW_1_1'}, {'STAY_0_0'}, {'E_1_0'}]",0.33412864726998337,0.8616071428571429,224,"{0.0: 163, 1.0: 61}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'NE_1_1'}, {'E_1_0'}, {'N_0_1'}, {'NE_1_1'}, {'S_0_1'}]",0.32381915834729946,0.9107883817427386,482,"{1.0: 396, 0.0: 86}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}, {'W_1_0'}, {'W_1_0'}]",0.21284501051811577,0.8287671232876712,146,"{0.0: 55, 1.0: 91}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'N_0_1'}, {'NE_1_1'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'E_1_0'}, {'SW_1_1'}]",0.18289087709152052,0.8768115942028986,138,"{0.0: 80, 1.0: 58}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'NW_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}]",0.14398965233982608,0.8558558558558559,111,"{1.0: 97, 0.0: 14}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'STAY_0_0'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}]",0.1415081037192103,0.8915254237288136,295,"{1.0: 233, 0.0: 62}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'NE_1_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'NW_1_1'}]",0.08023581897103049,0.8968253968253969,126,"{1.0: 115, 0.0: 11}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
