pattern,quality,pattern_accuracy,support,class_balance,p_value,corrected_p,is_sig,global_accuracy
"[{'S_0_1'}, {'W_1_0'}, {'STAY_0_0'}, {'E_1_0'}, {'E_1_0'}, {'STAY_0_0'}]",0.9653315121146723,0.7281553398058253,103,"{0.0: 44, 1.0: 59}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'NE_1_1'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'W_1_0'}, {'STAY_0_0'}]",0.61693415808928,0.7933333333333333,150,"{0.0: 42, 1.0: 108}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'NE_1_1'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'STAY_0_0'}, {'NE_1_1'}]",0.4801158716596068,0.8369565217391305,184,"{0.0: 62, 1.0: 122}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'S_0_1'}]",0.34064207794485757,0.9151785714285714,896,"{1.0: 809, 0.0: 87}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'SW_1_1'}, {'STAY_0_0'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",0.33513845052374003,0.8,150,"{1.0: 101, 0.0: 49}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'N_0_1'}, {'NE_1_1'}, {'S_0_1'}, {'E_1_0'}, {'S_0_1'}, {'W_1_0'}]",0.2506194787796152,0.9077809798270894,347,"{0.0: 192, 1.0: 155}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.16267604605414887,0.8780487804878049,205,"{0.0: 58, 1.0: 147}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'STAY_0_0'}, {'E_1_0'}, {'W_1_0'}]",0.12496355972769857,0.9114754098360656,305,"{0.0: 268, 1.0: 37}",0.002997002997002997,0.003203692858865273,True,0.9688331432915241
"[{'E_1_0'}, {'N_0_1'}, {'NE_1_1'}, {'N_0_1'}, {'NW_1_1'}, {'N_0_1'}, {'N_0_1'}, {'STAY_0_0'}]",0.12226717558632672,0.8952380952380953,105,"{0.0: 9, 1.0: 96}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'NW_1_1'}, {'N_0_1'}, {'E_1_0'}, {'SE_1_1'}]",0.12024602674554008,0.8983050847457628,118,"{1.0: 111, 0.0: 7}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}]",0.10702685333059292,0.8269230769230769,104,"{1.0: 88, 0.0: 16}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'STAY_0_0'}, {'NE_1_1'}, {'NE_1_1'}]",0.08957398836447905,0.8738738738738738,111,"{1.0: 86, 0.0: 25}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}, {'W_1_0'}, {'W_1_0'}]",0.06959532729804474,0.8446601941747572,103,"{0.0: 36, 1.0: 67}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'N_0_1'}, {'NW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'S_0_1'}, {'E_1_0'}]",0.062236139024477555,0.9096385542168675,166,"{1.0: 156, 0.0: 10}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'SE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'STAY_0_0'}]",0.05109180771471522,0.9162011173184358,179,"{0.0: 74, 1.0: 105}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'SE_1_1'}, {'SW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}]",0.05021420640295604,0.881578947368421,152,"{1.0: 70, 0.0: 82}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'NE_1_1'}, {'E_1_0'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'W_1_0'}, {'N_0_1'}, {'W_1_0'}]",0.021721729443636706,0.9078947368421053,152,"{1.0: 139, 0.0: 13}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'W_1_0'}, {'S_0_1'}, {'STAY_0_0'}, {'E_1_0'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",0.009012083873268129,0.9130434782608695,138,"{0.0: 12, 1.0: 126}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
