pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'A'}, {'B'}, {'C'}]",0.7805856708797096,0.6464,50,"{0.0: 25, 1.0: 25}",0.0009990009990009,0.0312187812187812,True,0.9040558581031114
"[{'W'}, {'U'}]",0.5315638733463575,0.8884254754533392,1902,"{1.0: 950, 0.0: 952}",0.0049950049950049,0.0312187812187812,True,0.9040558581031114
"[{'M'}, {'T'}]",0.530913780423587,0.8891513864204488,1969,"{1.0: 1003, 0.0: 966}",0.0099900099900099,0.0366300366300366,True,0.9040558581031114
"[{'Y'}, {'U'}]",0.5295858024705689,0.8904592991254358,1981,"{1.0: 996, 0.0: 985}",0.0179820179820179,0.0390913434391695,True,0.9040558581031114
"[{'Y'}, {'N'}]",0.5295232193751197,0.8904571944826183,1943,"{1.0: 944, 0.0: 999}",0.0179820179820179,0.0390913434391695,True,0.9040558581031114
"[{'M'}, {'Y'}]",0.5293409726189207,0.8907349109039147,1996,"{0.0: 985, 1.0: 1011}",0.0179820179820179,0.0390913434391695,True,0.9040558581031114
"[{'P'}, {'U'}]",0.5287358973295699,0.8910938004810282,1829,"{0.0: 939, 1.0: 890}",0.0239760239760239,0.0416250416250416,True,0.9040558581031114
"[{'W'}, {'T'}]",0.5283761040241681,0.8916073825503357,1894,"{1.0: 1000, 0.0: 894}",0.0249750249750249,0.0416250416250416,True,0.9040558581031114
"[{'T'}, {'Y'}]",0.5280283017413151,0.892065739787161,1931,"{0.0: 971, 1.0: 960}",0.0299700299700299,0.0416250416250416,True,0.9040558581031114
"[{'T'}, {'T'}]",0.5270196931612009,0.8933737223064508,1982,"{1.0: 966, 0.0: 1016}",0.0499500499500499,0.0509694387245407,False,0.9040558581031114
"[{'T'}, {'O'}, {'V'}, {'Z'}]",0.4705180006622725,0.728,45,"{1.0: 20, 0.0: 25}",0.0019980019980019,0.0312187812187812,True,0.9040558581031114
"[{'N'}, {'Y'}, {'O'}]",0.4389826673461785,0.8525059072254696,359,"{0.0: 172, 1.0: 187}",0.0019980019980019,0.0312187812187812,True,0.9040558581031114
"[{'Y'}, {'Y'}, {'P'}]",0.4265353040112899,0.8612927302582475,368,"{0.0: 203, 1.0: 165}",0.0039960039960039,0.0312187812187812,True,0.9040558581031114
"[{'Y'}, {'W'}, {'N'}]",0.4263152890501954,0.8614285714285714,367,"{1.0: 175, 0.0: 192}",0.0039960039960039,0.0312187812187812,True,0.9040558581031114
"[{'O'}, {'M'}, {'Y'}]",0.4231817963725334,0.8645833333333331,395,"{0.0: 203, 1.0: 192}",0.0049950049950049,0.0312187812187812,True,0.9040558581031114
"[{'T'}, {'T'}, {'T'}]",0.4221714299130994,0.8647440392706872,370,"{1.0: 184, 0.0: 186}",0.0099900099900099,0.0366300366300366,True,0.9040558581031114
"[{'O'}, {'V'}, {'Z'}]",0.4214382049286889,0.8649131767109295,354,"{0.0: 176, 1.0: 178}",0.0079920079920079,0.0366300366300366,True,0.9040558581031114
"[{'O'}, {'Y'}, {'N'}]",0.420820894138134,0.8658810325476991,371,"{1.0: 162, 0.0: 209}",0.0109890109890109,0.0366300366300366,True,0.9040558581031114
"[{'O'}, {'T'}, {'Y'}]",0.4184793125934389,0.8674345958609918,353,"{1.0: 156, 0.0: 197}",0.0119880119880119,0.0374625374625374,True,0.9040558581031114
"[{'W'}, {'M'}, {'N'}]",0.4177875935850482,0.8681073500350608,355,"{1.0: 189, 0.0: 166}",0.0089910089910089,0.0366300366300366,True,0.9040558581031114
"[{'T'}, {'Y'}, {'O'}]",0.4173072931816752,0.8681596344882488,340,"{1.0: 173, 0.0: 167}",0.0149850149850149,0.0390913434391695,True,0.9040558581031114
"[{'W'}, {'V'}, {'T'}]",0.4163617632319973,0.8696387580041078,364,"{1.0: 186, 0.0: 178}",0.0159840159840159,0.0390913434391695,True,0.9040558581031114
"[{'M'}, {'X'}, {'O'}]",0.416311396136981,0.8705908181685125,405,"{1.0: 206, 0.0: 199}",0.0109890109890109,0.0366300366300366,True,0.9040558581031114
"[{'M'}, {'X'}, {'Y'}]",0.4158470562570141,0.8703746002740977,375,"{0.0: 176, 1.0: 199}",0.0099900099900099,0.0366300366300366,True,0.9040558581031114
"[{'U'}, {'Y'}, {'O'}]",0.4156368763642124,0.8710049761452829,395,"{1.0: 202, 0.0: 193}",0.0209790209790209,0.0416250416250416,True,0.9040558581031114
"[{'M'}, {'M'}, {'X'}, {'Y'}]",0.4152507383632987,0.7552083333333334,40,"{0.0: 16, 1.0: 24}",0.0049950049950049,0.0312187812187812,True,0.9040558581031114
"[{'M'}, {'Y'}, {'O'}]",0.4151142376667751,0.8711366181410974,378,"{0.0: 190, 1.0: 188}",0.0249750249750249,0.0416250416250416,True,0.9040558581031114
"[{'M'}, {'Y'}, {'T'}]",0.4144376129406942,0.8714633404320049,363,"{1.0: 173, 0.0: 190}",0.0279720279720279,0.0416250416250416,True,0.9040558581031114
"[{'O'}, {'P'}, {'N'}]",0.4141045338814384,0.8714518651625569,348,"{1.0: 159, 0.0: 189}",0.0139860139860139,0.0390913434391695,True,0.9040558581031114
"[{'T'}, {'N'}, {'U'}]",0.413920705765721,0.8720875221762271,368,"{1.0: 190, 0.0: 178}",0.0299700299700299,0.0416250416250416,True,0.9040558581031114
"[{'X'}, {'X'}, {'U'}]",0.4138643470256598,0.8713855205567912,335,"{1.0: 154, 0.0: 181}",0.0299700299700299,0.0416250416250416,True,0.9040558581031114
"[{'M'}, {'Y'}, {'U'}]",0.4138270144938681,0.872477516999342,382,"{0.0: 188, 1.0: 194}",0.0179820179820179,0.0390913434391695,True,0.9040558581031114
"[{'N'}, {'U'}, {'O'}]",0.4136883845636215,0.8714933768825985,332,"{0.0: 167, 1.0: 165}",0.0279720279720279,0.0416250416250416,True,0.9040558581031114
"[{'Y'}, {'N'}, {'O'}]",0.4135420605350758,0.8720471145620847,349,"{1.0: 167, 0.0: 182}",0.0259740259740259,0.0416250416250416,True,0.9040558581031114
"[{'Y'}, {'X'}, {'U'}]",0.4130873647437176,0.8731605351170569,379,"{0.0: 184, 1.0: 195}",0.0279720279720279,0.0416250416250416,True,0.9040558581031114
"[{'Y'}, {'Y'}, {'U'}]",0.41221027633108,0.8738055422838032,366,"{0.0: 182, 1.0: 184}",0.0329670329670329,0.0445500445500445,True,0.9040558581031114
