pattern,quality,support,pattern_auc,global_auc,dataset_size
[{'somewhere'}],0.8088344487210706,20,0.8,0.9762792031249999,16000
[{'only'}],0.7735656245187797,252,0.8991823725055432,0.9762792031249999,16000
[{'fuck'}],0.7624320985861481,39,0.8629032258064516,0.9762792031249999,16000
[{'sorry'}],0.7427398074819885,251,0.917164044130946,0.9762792031249999,16000
[{'days'}],0.7349705225674239,151,0.9154040404040404,0.9762792031249999,16000
[{'text'}],0.7294287670221902,38,0.8972222222222223,0.9762792031249999,16000
[{'thought'}],0.721889651445692,106,0.9232142857142858,0.9762792031249999,16000
[{'sore'}],0.7142198753596751,40,0.9210526315789473,0.9762792031249999,16000
[{'years'}],0.714141357981495,47,0.9233716475095786,0.9762792031249999,16000
"[{'at'}, {'last'}]",0.6596624390702891,28,0.7954545454545454,0.9762792031249999,16000
"[{'only'}, {'i'}]",0.6176902261789003,69,0.8561224489795918,0.9762792031249999,16000
"[{'.'}, {'only'}]",0.5908025014786134,64,0.8726467331118494,0.9762792031249999,16000
"[{'USER'}, {'sorry'}]",0.5800754564972322,201,0.9048433048433049,0.9762792031249999,16000
"[{'last'}, {'..'}]",0.5792579144742971,20,0.85,0.9762792031249999,16000
"[{'i'}, {'sorry'}]",0.576944113980331,110,0.8955294117647059,0.9762792031249999,16000
"[{'making'}, {'me'}]",0.57206182197832,22,0.8611111111111112,0.9762792031249999,16000
"[{'!'}, {'soon'}]",0.5686875858776325,29,0.8725490196078431,0.9762792031249999,16000
"[{'miss'}, {'my'}]",0.5652699029372179,73,0.8970588235294118,0.9762792031249999,16000
"[{""n't""}, {'even'}]",0.5642143671304485,58,0.893421052631579,0.9762792031249999,16000
"[{'not'}, {'or'}]",0.5621355912272272,25,0.8766233766233766,0.9762792031249999,16000
"[{'good'}, {'luck'}]",0.5616862696692834,48,0.8921052631578947,0.9762792031249999,16000
"[{'USER'}, {'guess'}]",0.5612426009833331,68,0.8995670995670997,0.9762792031249999,16000
"[{""'s""}, {'raining'}]",0.56091448793148,22,0.875,0.9762792031249999,16000
"[{'i'}, {'wanna'}]",0.559551158778363,98,0.9078260869565217,0.9762792031249999,16000
"[{'still'}, {'i'}]",0.5592544529516981,91,0.9068287037037036,0.9762792031249999,16000
"[{'USER'}, {'only'}]",0.5580214020255106,114,0.9117552334943638,0.9762792031249999,16000
"[{'be'}, {'at'}]",0.557914828775747,74,0.9045031055900621,0.9762792031249999,16000
"[{'USER'}, {'even'}]",0.556339966509448,95,0.9103815439219166,0.9762792031249999,16000
"[{'but'}, {'...'}]",0.5557286547343878,66,0.9047619047619049,0.9762792031249999,16000
"[{'sorry'}, {'a'}]",0.5550764681211837,32,0.8914285714285713,0.9762792031249999,16000
"[{'wish'}, {'i'}]",0.552155677517187,153,0.9215625,0.9762792031249999,16000
"[{'better'}, {'!'}]",0.5513229104347188,34,0.8977272727272727,0.9762792031249999,16000
"[{'but'}, {'you'}]",0.5500290466369739,119,0.9201704545454545,0.9762792031249999,16000
"[{'really'}, {'not'}]",0.5486308182159889,24,0.894736842105263,0.9762792031249999,16000
"[{'.'}, {'feeling'}]",0.5451013637107298,21,0.8979591836734694,0.9762792031249999,16000
"[{'not'}, {'here'}]",0.5439583251500031,21,0.8999999999999999,0.9762792031249999,16000
"[{'so'}, {'sad'}]",0.5439024488416337,56,0.9166666666666667,0.9762792031249999,16000
"[{'could'}, {'.'}]",0.543642253484509,39,0.9114285714285714,0.9762792031249999,16000
"[{'USER'}, {'aww'}]",0.5425222365300721,66,0.9209756097560976,0.9762792031249999,16000
"[{'last'}, {'day'}]",0.5422348890270512,45,0.9158653846153847,0.9762792031249999,16000
"[{'out'}, {'do'}]",0.5410704406679183,32,0.9125,0.9762792031249999,16000
"[{'miss'}, {'i'}]",0.5398040768314624,45,0.9197860962566844,0.9762792031249999,16000
"[{'no'}, {'it'}]",0.5392517100406127,60,0.9245714285714286,0.9762792031249999,16000
"[{'i'}, {'thing'}]",0.5389388246074088,52,0.923202614379085,0.9762792031249999,16000
"[{'lol'}, {'...'}]",0.5379735732158024,32,0.9181818181818182,0.9762792031249999,16000
"[{'USER'}, {'feeling'}]",0.5374759008736578,42,0.9229024943310657,0.9762792031249999,16000
"[{'when'}, {""'s""}]",0.5372053845073476,29,0.9182692307692307,0.9762792031249999,16000
"[{'USER'}, {'their'}]",0.5370908966740886,42,0.9236111111111112,0.9762792031249999,16000
"[{'where'}, {'is'}]",0.5369914422058761,34,0.9209486166007905,0.9762792031249999,16000
"[{'!'}, {'oh'}]",0.5366271845401844,32,0.9208333333333334,0.9762792031249999,16000
"[{'i'}, {'never'}, {'i'}]",0.5257375587818225,21,0.7884615384615384,0.9762792031249999,16000
"[{'USER'}, {'i'}, {'wish'}]",0.48954745059486393,92,0.8663663663663663,0.9762792031249999,16000
"[{'i'}, {'in'}, {','}]",0.4760791341520456,106,0.8782991202346041,0.9762792031249999,16000
"[{'USER'}, {'they'}, {'do'}]",0.4597002941539017,24,0.85,0.9762792031249999,16000
"[{'wish'}, {'i'}, {'was'}]",0.45650179813821423,40,0.8680555555555556,0.9762792031249999,16000
"[{'USER'}, {'but'}, {'you'}]",0.4527483251821337,95,0.8919413919413919,0.9762792031249999,16000
"[{'i'}, {'in'}, {'you'}]",0.45018914652779896,42,0.8752941176470588,0.9762792031249999,16000
"[{'i'}, {'miss'}, {'my'}]",0.4437729662047102,66,0.8918032786885246,0.9762792031249999,16000
"[{'USER'}, {'to'}, {'but'}]",0.43852155817073857,131,0.9093097913322632,0.9762792031249999,16000
"[{'USER'}, {'wish'}, {'i'}]",0.4382479355099602,85,0.9019138755980861,0.9762792031249999,16000
"[{'USER'}, {'good'}, {'luck'}]",0.4375314067768057,43,0.8888888888888888,0.9762792031249999,16000
"[{'i'}, {'miss'}, {'the'}]",0.4347236102711748,38,0.8894009216589862,0.9762792031249999,16000
"[{'i'}, {'wish'}, {'i'}]",0.4328316900779251,108,0.9111111111111111,0.9762792031249999,16000
"[{'to'}, {'but'}, {'i'}]",0.4323053266315132,131,0.9146520146520147,0.9762792031249999,16000
"[{'USER'}, {'i'}, {'miss'}]",0.43229326358620623,109,0.911764705882353,0.9762792031249999,16000
"[{'i'}, {""'m""}, {'sorry'}]",0.43226213193524576,59,0.9010989010989011,0.9762792031249999,16000
"[{'i'}, {'m'}, {'you'}]",0.43185514988915175,38,0.8928571428571428,0.9762792031249999,16000
"[{'it'}, {'for'}, {'me'}]",0.4300573745600812,29,0.8894230769230769,0.9762792031249999,16000
"[{'USER'}, {'good'}, {'morning'}]",0.4298881521595803,28,0.8888888888888888,0.9762792031249999,16000
"[{'USER'}, {'i'}, {""'d""}]",0.4290369974185785,58,0.9044117647058824,0.9762792031249999,16000
"[{'!'}, {'do'}, {'have'}]",0.42804654958022437,24,0.8881118881118881,0.9762792031249999,16000
"[{'USER'}, {'...'}, {'i'}]",0.4274153263713866,185,0.9239232209737828,0.9762792031249999,16000
"[{'USER'}, {'that'}, {'one'}]",0.4269630166625835,30,0.8944099378881988,0.9762792031249999,16000
"[{'USER'}, {'no'}, {""'s""}]",0.4268816062963361,32,0.8958333333333334,0.9762792031249999,16000
"[{'USER'}, {'but'}, {'it'}]",0.4235124002387123,151,0.9249728162377673,0.9762792031249999,16000
"[{'USER'}, {'still'}, {'a'}]",0.4222935480792599,22,0.8952380952380952,0.9762792031249999,16000
"[{'USER'}, {'i'}, {'never'}]",0.4219576027537444,65,0.9148936170212766,0.9762792031249999,16000
"[{'USER'}, {'what'}, {'you'}]",0.42180919633159997,92,0.9201741654571843,0.9762792031249999,16000
"[{'USER'}, {'oh'}, {'no'}]",0.42093321374065407,30,0.9034090909090909,0.9762792031249999,16000
"[{'i'}, {'do'}, {'.'}]",0.42081113798131775,123,0.9252054794520548,0.9762792031249999,16000
"[{'USER'}, {'love'}, {'it'}]",0.4204562775662033,51,0.9131274131274132,0.9762792031249999,16000
"[{'it'}, {""'s""}, {'raining'}]",0.4190195885417032,21,0.9,0.9762792031249999,16000
"[{'i'}, {'a'}, {'on'}]",0.41802437529212977,93,0.924953095684803,0.9762792031249999,16000
"[{'i'}, {'m'}, {'really'}]",0.4179231214179341,20,0.901098901098901,0.9762792031249999,16000
"[{'do'}, {""n't""}, {'.'}]",0.4173288840696614,96,0.9262482821804856,0.9762792031249999,16000
"[{'USER'}, {'have'}, {'fun'}]",0.41722756012618967,44,0.9156327543424319,0.9762792031249999,16000
"[{'USER'}, {'at'}, {'i'}]",0.416850729667928,80,0.9245647969052224,0.9762792031249999,16000
"[{'to'}, {'in'}, {'i'}]",0.4165759317013945,71,0.9233870967741935,0.9762792031249999,16000
"[{'USER'}, {'i'}, {'even'}]",0.41646853540204165,53,0.9195402298850575,0.9762792031249999,16000
"[{'!'}, {'i'}, {'going'}]",0.41627201697371985,39,0.9153439153439152,0.9762792031249999,16000
"[{'i'}, {'my'}, {'be'}]",0.4143018118369677,29,0.9142857142857144,0.9762792031249999,16000
"[{'i'}, {'my'}, {'head'}]",0.41301872220194524,21,0.9117647058823529,0.9762792031249999,16000
"[{'you'}, {'did'}, {""n't""}]",0.4129320101927838,24,0.9140625,0.9762792031249999,16000
"[{'i'}, {'he'}, {','}]",0.4125082533652005,20,0.9120879120879121,0.9762792031249999,16000
"[{'do'}, {'i'}, {'it'}]",0.4123955750375595,49,0.9251700680272108,0.9762792031249999,16000
"[{'i'}, {'for'}, {""n't""}]",0.4119698899045561,28,0.9183673469387755,0.9762792031249999,16000
"[{'USER'}, {""n't""}, {'your'}]",0.4117870213970166,32,0.9206349206349207,0.9762792031249999,16000
"[{'at'}, {'&'}, {';'}]",0.4104600537343377,25,0.92,0.9762792031249999,16000
"[{'USER'}, {'do'}, {'be'}]",0.41041309115743996,36,0.9249999999999999,0.9762792031249999,16000
"[{'to'}, {'but'}, {'i'}, {'it'}]",0.40831294733344736,20,0.8020833333333334,0.9762792031249999,16000
"[{'today'}, {'i'}, {""'m""}]",0.4082065636646691,23,0.9242424242424243,0.9762792031249999,16000
"[{'i'}, {'wanna'}, {'!'}]",0.4074664827785016,21,0.925,0.9762792031249999,16000
"[{'i'}, {'do'}, {'want'}, {'to'}]",0.3877967503857731,49,0.851063829787234,0.9762792031249999,16000
"[{'i'}, {'do'}, {'nt'}, {'know'}]",0.3856114570596959,25,0.83,0.9762792031249999,16000
"[{'USER'}, {'i'}, {'to'}, {'but'}]",0.38452265266284513,90,0.8707692307692307,0.9762792031249999,16000
"[{'USER'}, {'i'}, {'wish'}, {'i'}]",0.37805033957260104,65,0.8663522012578616,0.9762792031249999,16000
"[{'USER'}, {'i'}, {'in'}, {','}]",0.3711366834377021,57,0.8679012345679014,0.9762792031249999,16000
"[{'USER'}, {'i'}, {'thought'}, {'i'}]",0.36522892636505233,23,0.846153846153846,0.9762792031249999,16000
