experiment,split,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp,class_0_count,class_1_count,total_samples
emm_dynamic_api_call_sequence_per_malware_100_0_306,train,0.8484711722892926,0.9931841754333975,0.837875,0.9089429791850295,0.9524014339513325,817,46,1297,6703,863,8000,8863
emm_dynamic_api_call_sequence_per_malware_100_0_306,test,0.8456678700361011,0.9916963226571768,0.836,0.9072164948453607,0.9450219907407407,202,14,328,1672,216,2000,2216
emm_student_sequences_plus,train,0.936875,0.9281339322172315,0.9470833333333334,0.9375128892555167,0.9885594618055555,2224,176,127,2273,2400,2400,4800
emm_student_sequences_plus,test,0.7408333333333333,0.747008547008547,0.7283333333333334,0.7375527426160337,0.7973666666666666,452,148,163,437,600,600,1200
emm_twitter-processed,train,0.9183125,0.9205730803066482,0.915625,0.9180923732531177,0.9762792031249999,7368,632,675,7325,8000,8000,16000
emm_twitter-processed,test,0.7385,0.7436159346271706,0.728,0.7357251136937846,0.816761625,1498,502,544,1456,2000,2000,4000
