pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
[{'A'}],1.2933293585597474,0.6512,50,"{0.0: 25, 1.0: 25}",0.000999000999000999,0.04895104895104895,True,0.8956020782276248
"[{'Z'}, {'N'}, {'O'}]",0.6025103474241998,0.7673038892551087,78,"{1.0: 41, 0.0: 37}",0.002997002997002997,0.07342657342657344,False,0.8956020782276248
"[{'M'}, {'O'}]",0.5492057442684153,0.8674214755295837,555,"{1.0: 259, 0.0: 296}",0.013986013986013986,0.12126509853782581,False,0.8956020782276248
"[{'Z'}, {'N'}]",0.5339970652040159,0.8775203800363615,584,"{1.0: 289, 0.0: 295}",0.06893106893106893,0.12126509853782581,False,0.8956020782276248
"[{'N'}, {'P'}]",0.5339924232625273,0.8772175034942479,546,"{1.0: 262, 0.0: 284}",0.06793206793206794,0.12126509853782581,False,0.8956020782276248
"[{'Z'}, {'P'}]",0.5339452219033536,0.8774687082418997,572,"{1.0: 271, 0.0: 301}",0.06393606393606394,0.12126509853782581,False,0.8956020782276248
"[{'T'}, {'Y'}]",0.529692277413743,0.8811538887045027,538,"{1.0: 262, 0.0: 276}",0.11188811188811189,0.1213134691395561,False,0.8956020782276248
"[{'X'}, {'O'}]",0.5272391456547281,0.8840545883903563,540,"{1.0: 278, 0.0: 262}",0.16883116883116883,0.16883116883116883,False,0.8956020782276248
"[{'N'}, {'W'}, {'P'}]",0.49201087701368407,0.8099415204678363,83,"{0.0: 45, 1.0: 38}",0.013986013986013986,0.12126509853782581,False,0.8956020782276248
"[{'Y'}, {'P'}, {'Y'}]",0.4693730251878958,0.8238095238095238,97,"{0.0: 55, 1.0: 42}",0.025974025974025976,0.12126509853782581,False,0.8956020782276248
"[{'X'}, {'Y'}, {'O'}]",0.4491193505461716,0.8345164152617568,95,"{1.0: 49, 0.0: 46}",0.028971028971028972,0.12126509853782581,False,0.8956020782276248
"[{'W'}, {'T'}, {'Y'}]",0.4485431652480134,0.8331485587583148,85,"{1.0: 44, 0.0: 41}",0.03696303696303696,0.12126509853782581,False,0.8956020782276248
"[{'X'}, {'M'}, {'O'}]",0.4476488667259604,0.8337028824833702,85,"{1.0: 44, 0.0: 41}",0.03896103896103896,0.12126509853782581,False,0.8956020782276248
"[{'O'}, {'X'}, {'V'}]",0.44605796086730853,0.8352272727272727,88,"{1.0: 44, 0.0: 44}",0.04395604395604396,0.12126509853782581,False,0.8956020782276248
"[{'U'}, {'X'}, {'V'}]",0.44202009664882436,0.8400455927051672,103,"{0.0: 56, 1.0: 47}",0.04995004995004995,0.12126509853782581,False,0.8956020782276248
"[{'X'}, {'X'}, {'X'}]",0.4401338634824633,0.8404255319148937,97,"{1.0: 50, 0.0: 47}",0.04695304695304695,0.12126509853782581,False,0.8956020782276248
"[{'U'}, {'Z'}, {'P'}]",0.43957907520699635,0.8384384384384385,82,"{1.0: 37, 0.0: 45}",0.05094905094905095,0.12126509853782581,False,0.8956020782276248
"[{'O'}, {'N'}, {'Y'}]",0.43954689488093124,0.8425066312997347,110,"{0.0: 52, 1.0: 58}",0.053946053946053944,0.12126509853782581,False,0.8956020782276248
"[{'N'}, {'P'}, {'V'}]",0.4387489664005023,0.8384813384813384,79,"{1.0: 42, 0.0: 37}",0.06393606393606394,0.12126509853782581,False,0.8956020782276248
"[{'P'}, {'X'}, {'X'}]",0.43646839940718163,0.8434065934065934,101,"{1.0: 49, 0.0: 52}",0.04795204795204795,0.12126509853782581,False,0.8956020782276248
"[{'O'}, {'T'}, {'M'}]",0.4358309308636852,0.841399416909621,84,"{1.0: 35, 0.0: 49}",0.07192807192807193,0.12126509853782581,False,0.8956020782276248
"[{'P'}, {'Z'}, {'U'}]",0.43503393690305614,0.8425925925925926,88,"{1.0: 34, 0.0: 54}",0.07292707292707293,0.12126509853782581,False,0.8956020782276248
"[{'W'}, {'T'}, {'O'}]",0.43433321314317486,0.8413132694938441,77,"{0.0: 43, 1.0: 34}",0.07192807192807193,0.12126509853782581,False,0.8956020782276248
"[{'N'}, {'O'}, {'T'}]",0.43345043418099516,0.8441692466460269,91,"{1.0: 57, 0.0: 34}",0.08591408591408592,0.12126509853782581,False,0.8956020782276248
"[{'N'}, {'P'}, {'Y'}]",0.43326543917577975,0.844984802431611,96,"{1.0: 47, 0.0: 49}",0.04195804195804196,0.12126509853782581,False,0.8956020782276248
"[{'Z'}, {'U'}, {'N'}]",0.4316305856323912,0.8459090909090909,94,"{0.0: 50, 1.0: 44}",0.058941058941058944,0.12126509853782581,False,0.8956020782276248
"[{'N'}, {'U'}, {'W'}]",0.4300202602873129,0.8487654320987654,108,"{0.0: 54, 1.0: 54}",0.06893106893106893,0.12126509853782581,False,0.8956020782276248
"[{'N'}, {'N'}, {'W'}]",0.4299275909622684,0.8462354188759279,87,"{1.0: 46, 0.0: 41}",0.08291708291708291,0.12126509853782581,False,0.8956020782276248
"[{'N'}, {'N'}, {'Z'}]",0.4294493651957031,0.8481632653061224,99,"{1.0: 49, 0.0: 50}",0.08691308691308691,0.12126509853782581,False,0.8956020782276248
"[{'M'}, {'O'}, {'Y'}]",0.42937783247021455,0.846938775510204,89,"{0.0: 49, 1.0: 40}",0.08091908091908091,0.12126509853782581,False,0.8956020782276248
"[{'T'}, {'P'}, {'O'}]",0.4286162575406993,0.8473958333333333,88,"{1.0: 40, 0.0: 48}",0.08191808191808192,0.12126509853782581,False,0.8956020782276248
"[{'X'}, {'N'}, {'X'}]",0.4281596486688092,0.8476190476190476,87,"{1.0: 42, 0.0: 45}",0.08191808191808192,0.12126509853782581,False,0.8956020782276248
"[{'N'}, {'M'}, {'O'}]",0.42624616253988945,0.8508634222919937,101,"{1.0: 49, 0.0: 52}",0.08291708291708291,0.12126509853782581,False,0.8956020782276248
"[{'W'}, {'M'}, {'O'}]",0.4258406859234388,0.8488095238095238,82,"{1.0: 40, 0.0: 42}",0.08791208791208792,0.12126509853782581,False,0.8956020782276248
"[{'Z'}, {'U'}, {'V'}]",0.4250610983704469,0.8512505484861781,96,"{0.0: 53, 1.0: 43}",0.07992007992007992,0.12126509853782581,False,0.8956020782276248
