pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'A'}, {'B'}]",1.1563361976977318,0.6512000000000001,50,"{0.0: 25, 1.0: 25}",0.000999000999000999,0.016650016650016652,True,0.9035126752279188
"[{'N'}, {'Z'}, {'Z'}, {'Z'}]",0.977063505611853,0.5757575757575757,20,"{0.0: 11, 1.0: 9}",0.000999000999000999,0.016650016650016652,True,0.9035126752279188
"[{'N'}, {'O'}, {'Y'}, {'U'}]",0.5879208032402721,0.69,20,"{0.0: 10, 1.0: 10}",0.004995004995004995,0.03567860710717853,True,0.9035126752279188
"[{'X'}, {'V'}]",0.5449060786259864,0.8785595735050044,632,"{1.0: 337, 0.0: 295}",0.016983016983016984,0.04495504495504495,True,0.9035126752279188
"[{'W'}, {'O'}, {'M'}]",0.5414977480162857,0.8092819210344031,132,"{1.0: 61, 0.0: 71}",0.003996003996003996,0.03567860710717853,True,0.9035126752279188
"[{'U'}, {'T'}, {'P'}, {'N'}]",0.5397955134338702,0.7192982456140352,25,"{0.0: 19, 1.0: 6}",0.022977022977022976,0.04495504495504495,True,0.9035126752279188
"[{'Z'}, {'O'}]",0.5389510209591069,0.8824195866032939,659,"{0.0: 327, 1.0: 332}",0.03596403596403597,0.052650052650052646,False,0.9035126752279188
"[{'V'}, {'X'}]",0.538114409488664,0.8827681923476317,633,"{1.0: 321, 0.0: 312}",0.04395604395604396,0.056193806193806185,False,0.9035126752279188
"[{'O'}, {'M'}]",0.5367422926954573,0.8838851477740367,654,"{1.0: 324, 0.0: 330}",0.04495504495504495,0.056193806193806185,False,0.9035126752279188
"[{'O'}, {'V'}]",0.5361649428679595,0.8841788393209633,638,"{0.0: 298, 1.0: 340}",0.03896103896103896,0.052650052650052646,False,0.9035126752279188
"[{'N'}, {'U'}]",0.535616177217678,0.8845674617301531,636,"{0.0: 318, 1.0: 318}",0.04395604395604396,0.056193806193806185,False,0.9035126752279188
"[{'W'}, {'N'}]",0.5335740652075058,0.8862928637627433,657,"{0.0: 325, 1.0: 332}",0.04995004995004995,0.06091469506103653,False,0.9035126752279188
"[{'W'}, {'T'}, {'O'}]",0.5326998362004101,0.8096198156682028,118,"{1.0: 56, 0.0: 62}",0.000999000999000999,0.016650016650016652,True,0.9035126752279188
"[{'W'}, {'O'}]",0.5322099998469646,0.8873099639336852,638,"{1.0: 321, 0.0: 317}",0.06293706293706294,0.07318263132216621,False,0.9035126752279188
"[{'W'}, {'M'}]",0.5318259449895473,0.8876654984423676,641,"{0.0: 320, 1.0: 321}",0.09290709290709291,0.1055762419398783,False,0.9035126752279188
"[{'N'}, {'Z'}]",0.5294527627393777,0.8896966993755576,599,"{0.0: 295, 1.0: 304}",0.1088911088911089,0.12099012099012099,False,0.9035126752279188
"[{'Y'}, {'N'}]",0.5287287399658005,0.8909370070812498,691,"{0.0: 359, 1.0: 332}",0.11588411588411589,0.12328097434480415,False,0.9035126752279188
"[{'M'}, {'V'}]",0.5282188256497755,0.8914135374312366,672,"{1.0: 333, 0.0: 339}",0.13786213786213786,0.1436063936063936,False,0.9035126752279188
"[{'N'}, {'M'}]",0.5281548463835207,0.8912017259056733,612,"{0.0: 308, 1.0: 304}",0.11488511488511488,0.12328097434480415,False,0.9035126752279188
"[{'X'}, {'N'}]",0.5279111071477751,0.8916646054909722,649,"{1.0: 338, 0.0: 311}",0.14285714285714285,0.1457725947521866,False,0.9035126752279188
"[{'X'}, {'O'}]",0.526933655897187,0.8928359449192782,639,"{0.0: 288, 1.0: 351}",0.15884115884115885,0.15884115884115885,False,0.9035126752279188
"[{'N'}, {'Z'}, {'Z'}]",0.5201914412350532,0.8127057274522713,111,"{0.0: 49, 1.0: 62}",0.003996003996003996,0.03567860710717853,True,0.9035126752279188
"[{'N'}, {'Z'}, {'W'}]",0.49555698815334204,0.8214285714285714,106,"{1.0: 56, 0.0: 50}",0.007992007992007992,0.0444000444000444,True,0.9035126752279188
"[{'Z'}, {'M'}, {'O'}]",0.49259441746968424,0.8274257864421798,135,"{0.0: 74, 1.0: 61}",0.004995004995004995,0.03567860710717853,True,0.9035126752279188
"[{'M'}, {'N'}, {'N'}, {'M'}]",0.4811955348049013,0.7363636363636363,21,"{0.0: 10, 1.0: 11}",0.026973026973026972,0.04495504495504495,True,0.9035126752279188
"[{'U'}, {'Y'}, {'U'}]",0.4721509461594473,0.8355029585798817,130,"{0.0: 65, 1.0: 65}",0.008991008991008992,0.04495504495504495,True,0.9035126752279188
