pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'U'}, {'W'}, {'T'}, {'V'}]",1.1890393011056366,0.537878787878788,23,"{1.0: 11, 0.0: 12}",0.0009990009990009,0.0083250083250083,True,0.9006222919321635
"[{'Z'}, {'Y'}, {'M'}, {'V'}]",1.1144802470989004,0.5454545454545454,21,"{0.0: 11, 1.0: 10}",0.0009990009990009,0.0083250083250083,True,0.9006222919321635
"[{'A'}, {'B'}, {'C'}]",1.0410223327897352,0.6464000000000001,50,"{0.0: 25, 1.0: 25}",0.0009990009990009,0.0083250083250083,True,0.9006222919321635
"[{'Y'}, {'W'}, {'Y'}, {'Z'}]",0.9846697923525418,0.5857142857142857,24,"{1.0: 14, 0.0: 10}",0.0009990009990009,0.0083250083250083,True,0.9006222919321635
"[{'Y'}, {'X'}, {'Y'}, {'Z'}]",0.8554255489619709,0.63671875,32,"{1.0: 16, 0.0: 16}",0.0019980019980019,0.0111000111000111,True,0.9006222919321635
"[{'Y'}, {'O'}, {'P'}, {'Z'}]",0.7205352097580322,0.663265306122449,28,"{0.0: 14, 1.0: 14}",0.0029970029970029,0.0136227408954681,True,0.9006222919321635
"[{'Z'}, {'W'}, {'T'}, {'Y'}]",0.6075621128519352,0.6875,23,"{0.0: 16, 1.0: 7}",0.0099900099900099,0.0211909302818393,True,0.9006222919321635
"[{'Y'}, {'W'}, {'Y'}, {'Y'}]",0.6021382440915573,0.6893939393939393,23,"{0.0: 12, 1.0: 11}",0.0089910089910089,0.0211909302818393,True,0.9006222919321635
"[{'N'}, {'U'}, {'U'}, {'Y'}]",0.5683511690950198,0.7037037037037037,24,"{0.0: 15, 1.0: 9}",0.0139860139860139,0.0211909302818393,True,0.9006222919321635
"[{'Y'}, {'Z'}]",0.5481372702503136,0.8762957778450363,920,"{1.0: 448, 0.0: 472}",0.0099900099900099,0.0211909302818393,True,0.9006222919321635
"[{'W'}, {'Z'}]",0.547944039821594,0.8765253547862245,941,"{0.0: 460, 1.0: 481}",0.0059940059940059,0.0187312687312687,True,0.9006222919321635
"[{'P'}, {'Z'}]",0.5459988340883355,0.8774422247258936,935,"{1.0: 482, 0.0: 453}",0.0059940059940059,0.0187312687312687,True,0.9006222919321635
"[{'P'}, {'W'}]",0.5432766722374036,0.8786102616377847,895,"{0.0: 436, 1.0: 459}",0.0139860139860139,0.0211909302818393,True,0.9006222919321635
"[{'Y'}, {'U'}]",0.5419180337714071,0.8791801222343805,866,"{0.0: 445, 1.0: 421}",0.0089910089910089,0.0211909302818393,True,0.9006222919321635
"[{'T'}, {'Y'}, {'U'}, {'T'}]",0.5403925227470826,0.7142857142857143,24,"{1.0: 14, 0.0: 10}",0.0119880119880119,0.0211909302818393,True,0.9006222919321635
"[{'P'}, {'Z'}, {'V'}]",0.5391583493709453,0.816593028964163,202,"{1.0: 97, 0.0: 105}",0.0009990009990009,0.0083250083250083,True,0.9006222919321635
"[{'Y'}, {'T'}]",0.5366089397173022,0.8826426269992862,911,"{1.0: 443, 0.0: 468}",0.0279720279720279,0.0333000333000333,True,0.9006222919321635
"[{'P'}, {'W'}, {'Z'}]",0.5363761671529177,0.8189953566905868,218,"{0.0: 103, 1.0: 115}",0.0009990009990009,0.0083250083250083,True,0.9006222919321635
"[{'Z'}, {'V'}]",0.5346166267930408,0.8839476284584981,900,"{1.0: 440, 0.0: 460}",0.0319680319680319,0.0363273090545817,True,0.9006222919321635
"[{'W'}, {'U'}]",0.5333483265435359,0.8848434677904877,893,"{0.0: 440, 1.0: 453}",0.0569430569430569,0.0581051601459764,False,0.9006222919321635
"[{'X'}, {'Z'}]",0.5315825883435399,0.8862674910510903,901,"{1.0: 462, 0.0: 439}",0.0569430569430569,0.0581051601459764,False,0.9006222919321635
"[{'P'}, {'Y'}]",0.529757804453918,0.8878747860112497,905,"{1.0: 470, 0.0: 435}",0.0899100899100899,0.0899100899100899,False,0.9006222919321635
"[{'T'}, {'U'}, {'X'}, {'U'}]",0.5274237858340973,0.7277777777777777,29,"{1.0: 9, 0.0: 20}",0.0149850149850149,0.0214071642643071,True,0.9006222919321635
"[{'W'}, {'U'}, {'Z'}, {'T'}]",0.5138221817671612,0.7395833333333333,34,"{0.0: 16, 1.0: 18}",0.0019980019980019,0.0111000111000111,True,0.9006222919321635
"[{'W'}, {'Y'}, {'X'}, {'U'}]",0.5040183262679826,0.7307692307692307,25,"{0.0: 13, 1.0: 12}",0.0129870129870129,0.0211909302818393,True,0.9006222919321635
"[{'Y'}, {'Y'}, {'Z'}]",0.5033788651356303,0.8275577557755774,197,"{0.0: 101, 1.0: 96}",0.0029970029970029,0.0136227408954681,True,0.9006222919321635
"[{'W'}, {'V'}, {'T'}, {'X'}]",0.4990974992019427,0.7463768115942029,35,"{0.0: 23, 1.0: 12}",0.0119880119880119,0.0211909302818393,True,0.9006222919321635
"[{'N'}, {'Y'}, {'W'}, {'U'}]",0.4968354718860477,0.7384615384615384,28,"{0.0: 13, 1.0: 15}",0.0149850149850149,0.0214071642643071,True,0.9006222919321635
"[{'Z'}, {'Y'}, {'Z'}, {'V'}]",0.4968354718860474,0.7384615384615385,28,"{1.0: 13, 0.0: 15}",0.0089910089910089,0.0211909302818393,True,0.9006222919321635
"[{'X'}, {'V'}, {'N'}, {'V'}]",0.490566257396967,0.7380952380952379,26,"{0.0: 14, 1.0: 12}",0.0119880119880119,0.0211909302818393,True,0.9006222919321635
"[{'X'}, {'Z'}, {'V'}]",0.4835594318330521,0.8341836734693877,190,"{1.0: 92, 0.0: 98}",0.0019980019980019,0.0111000111000111,True,0.9006222919321635
"[{'P'}, {'U'}, {'O'}]",0.4799083933405085,0.8341701902748413,174,"{1.0: 86, 0.0: 88}",0.0049950049950049,0.0178393035535892,True,0.9006222919321635
"[{'M'}, {'W'}, {'Z'}]",0.4757026207722364,0.8379548500154623,198,"{0.0: 89, 1.0: 109}",0.0039960039960039,0.0166500166500166,True,0.9006222919321635
"[{'V'}, {'U'}, {'U'}]",0.4710908570535785,0.8386325603633756,183,"{1.0: 89, 0.0: 94}",0.0049950049950049,0.0178393035535892,True,0.9006222919321635
"[{'P'}, {'V'}, {'M'}, {'P'}]",0.4710319605916516,0.7362637362637363,20,"{0.0: 13, 1.0: 7}",0.0329670329670329,0.0366300366300366,True,0.9006222919321635
"[{'T'}, {'X'}, {'W'}, {'Z'}]",0.4659635535815458,0.7598684210526315,35,"{1.0: 19, 0.0: 16}",0.0189810189810189,0.0243346397192551,True,0.9006222919321635
"[{'U'}, {'U'}, {'O'}]",0.4621308469045383,0.8417314392924149,173,"{1.0: 82, 0.0: 91}",0.0099900099900099,0.0211909302818393,True,0.9006222919321635
"[{'Y'}, {'U'}, {'Z'}, {'T'}]",0.4609217024423281,0.7527472527472527,27,"{1.0: 13, 0.0: 14}",0.0159840159840159,0.0222000222000222,True,0.9006222919321635
"[{'W'}, {'Y'}, {'U'}, {'X'}]",0.4606556971171588,0.75,25,"{1.0: 13, 0.0: 12}",0.0309690309690309,0.0360105011267802,True,0.9006222919321635
"[{'W'}, {'Y'}, {'U'}]",0.4566476891286053,0.8437182280319536,166,"{1.0: 81, 0.0: 85}",0.0109890109890109,0.0211909302818393,True,0.9006222919321635
"[{'Y'}, {'T'}, {'V'}]",0.4562708578775839,0.8452669902912622,183,"{0.0: 103, 1.0: 80}",0.0079920079920079,0.0211909302818393,True,0.9006222919321635
"[{'Y'}, {'P'}, {'T'}, {'V'}]",0.4537836978697869,0.7631578947368421,33,"{0.0: 19, 1.0: 14}",0.0209790209790209,0.0262237762237762,True,0.9006222919321635
"[{'T'}, {'V'}, {'P'}, {'P'}]",0.4533959750208827,0.7575757575757576,28,"{0.0: 22, 1.0: 6}",0.0569430569430569,0.0581051601459764,False,0.9006222919321635
"[{'Y'}, {'T'}, {'Z'}]",0.4525343949919349,0.847499439336174,189,"{0.0: 98, 1.0: 91}",0.0139860139860139,0.0211909302818393,True,0.9006222919321635
"[{'P'}, {'Z'}, {'M'}]",0.4518979781034682,0.8477398889770025,188,"{1.0: 97, 0.0: 91}",0.0169830169830169,0.0223460749776539,True,0.9006222919321635
"[{'P'}, {'W'}, {'X'}]",0.4496313779636544,0.8500934579439252,207,"{0.0: 100, 1.0: 107}",0.0119880119880119,0.0211909302818393,True,0.9006222919321635
"[{'M'}, {'U'}, {'V'}, {'U'}]",0.4480515718994751,0.7588235294117647,27,"{1.0: 17, 0.0: 10}",0.0229770229770229,0.0280207597280768,True,0.9006222919321635
"[{'Y'}, {'U'}, {'T'}, {'W'}]",0.447329367617903,0.75,21,"{1.0: 9, 0.0: 12}",0.0359640359640359,0.0390913434391695,True,0.9006222919321635
"[{'W'}, {'Y'}, {'Z'}]",0.4470732806991537,0.8510575504181013,202,"{0.0: 95, 1.0: 107}",0.0129870129870129,0.0211909302818393,True,0.9006222919321635
"[{'Y'}, {'Z'}, {'P'}]",0.4464225567179366,0.8501558379285542,183,"{0.0: 97, 1.0: 86}",0.0169830169830169,0.0223460749776539,True,0.9006222919321635
