pattern,quality,support,pattern_auc,global_auc,dataset_size
"[{'r'}, {'j'}, {'r'}, {'h'}]",0.3179152315829009,28,0.975,0.9936180657830143,118
"[{'j'}, {'r', 'j'}, {'r'}, {'h'}]",0.3103808325038727,30,0.98,0.9936180657830143,118
"[{'r'}, {'j'}, {'r'}, {'h'}, {'h'}]",0.30765075205429415,24,0.95,0.9936180657830143,118
"[{'j'}, {'r', 'j'}, {'r'}, {'h'}, {'h'}]",0.24540117789961258,27,0.9714285714285715,0.9936180657830143,118
"[{'j'}, {'r', 'j'}, {'r'}, {'k'}, {'h'}, {'h'}]",0.24070396242368086,24,0.95,0.9936180657830143,118
"[{'h'}, {'h', 'k'}, {'k'}, {'f', 'h', 'k'}, {'f', 'h', 'k'}, {'k'}]",0.1687611035609321,36,0.9777777777777777,0.9936180657830143,118
"[{'h'}, {'h', 'k'}, {'f', 'h', 'k'}, {'f', 'h', 'k'}, {'k'}, {'k'}]",0.1667533853434714,38,0.9791666666666666,0.9936180657830143,118
"[{'f'}, {'f', 'h'}, {'f', 'h'}, {'f', 'h', 'k'}, {'h', 'k'}, {'h', 'k'}]",0.1626544524388025,40,0.982078853046595,0.9936180657830143,118
"[{'g'}, {'h'}, {'f', 'h'}, {'f', 'h', 'k'}, {'h'}, {'h', 'k'}]",0.16121254523767314,42,0.9833333333333334,0.9936180657830143,118
