pattern,quality,pattern_auc,support,class_balance,p_value,corrected_p,is_sig,global_auc
"[{'W'}, {'U'}]",0.5315638733463575,0.8884254754533392,1902,"{1.0: 950, 0.0: 952}",0.0059940059940059,0.0437062937062937,True,0.9040558581031114
"[{'M'}, {'T'}]",0.530913780423587,0.8891513864204488,1969,"{1.0: 1003, 0.0: 966}",0.0059940059940059,0.0437062937062937,True,0.9040558581031114
"[{'Y'}, {'U'}]",0.5295858024705689,0.8904592991254358,1981,"{1.0: 996, 0.0: 985}",0.0239760239760239,0.0480288941827403,True,0.9040558581031114
"[{'Y'}, {'N'}]",0.5295232193751197,0.8904571944826183,1943,"{1.0: 944, 0.0: 999}",0.0139860139860139,0.0437062937062937,True,0.9040558581031114
"[{'M'}, {'Y'}]",0.5293409726189207,0.8907349109039147,1996,"{0.0: 985, 1.0: 1011}",0.0189810189810189,0.0474525474525474,True,0.9040558581031114
"[{'P'}, {'U'}]",0.5287358973295699,0.8910938004810282,1829,"{0.0: 939, 1.0: 890}",0.0249750249750249,0.0480288941827403,True,0.9040558581031114
"[{'W'}, {'T'}]",0.5283761040241681,0.8916073825503357,1894,"{1.0: 1000, 0.0: 894}",0.0219780219780219,0.0480288941827403,True,0.9040558581031114
"[{'T'}, {'Y'}]",0.5280283017413151,0.892065739787161,1931,"{0.0: 971, 1.0: 960}",0.0369630369630369,0.055896484467913,False,0.9040558581031114
"[{'T'}, {'T'}]",0.5270196931612009,0.8933737223064508,1982,"{1.0: 966, 0.0: 1016}",0.0419580419580419,0.055896484467913,False,0.9040558581031114
"[{'M'}, {'U'}, {'M'}, {'U'}]",0.440896855173526,0.7474916387959866,49,"{1.0: 23, 0.0: 26}",0.0019980019980019,0.0437062937062937,True,0.9040558581031114
"[{'N'}, {'Y'}, {'O'}]",0.4389826673461785,0.8525059072254696,359,"{0.0: 172, 1.0: 187}",0.0029970029970029,0.0437062937062937,True,0.9040558581031114
"[{'Y'}, {'Y'}, {'P'}]",0.4265353040112899,0.8612927302582475,368,"{0.0: 203, 1.0: 165}",0.0069930069930069,0.0437062937062937,True,0.9040558581031114
"[{'X'}, {'X'}, {'U'}, {'V'}]",0.4250412669174778,0.7542857142857143,46,"{0.0: 21, 1.0: 25}",0.0049950049950049,0.0437062937062937,True,0.9040558581031114
"[{'O'}, {'V'}, {'Z'}]",0.4214382049286889,0.8649131767109295,354,"{0.0: 176, 1.0: 178}",0.0129870129870129,0.0437062937062937,True,0.9040558581031114
"[{'W'}, {'U'}, {'O'}]",0.4211702665812891,0.8654599850411369,366,"{1.0: 175, 0.0: 191}",0.0099900099900099,0.0437062937062937,True,0.9040558581031114
"[{'O'}, {'Y'}, {'N'}]",0.420820894138134,0.8658810325476991,371,"{1.0: 162, 0.0: 209}",0.0089910089910089,0.0437062937062937,True,0.9040558581031114
"[{'W'}, {'Z'}, {'U'}]",0.4201902312011171,0.8656929347826088,344,"{0.0: 160, 1.0: 184}",0.0099900099900099,0.0437062937062937,True,0.9040558581031114
"[{'X'}, {'Y'}, {'O'}]",0.4194708184032992,0.8669239052404881,367,"{1.0: 199, 0.0: 168}",0.0139860139860139,0.0437062937062937,True,0.9040558581031114
"[{'O'}, {'T'}, {'Y'}]",0.4184793125934389,0.8674345958609918,353,"{1.0: 156, 0.0: 197}",0.0119880119880119,0.0437062937062937,True,0.9040558581031114
"[{'O'}, {'M'}, {'V'}]",0.4180911727734205,0.868421052631579,379,"{0.0: 189, 1.0: 190}",0.0079920079920079,0.0437062937062937,True,0.9040558581031114
"[{'W'}, {'M'}, {'N'}]",0.4177875935850482,0.8681073500350608,355,"{1.0: 189, 0.0: 166}",0.0109890109890109,0.0437062937062937,True,0.9040558581031114
"[{'X'}, {'X'}, {'Y'}]",0.415987390730703,0.8693532547699215,338,"{0.0: 162, 1.0: 176}",0.0149850149850149,0.0440735734853381,True,0.9040558581031114
"[{'M'}, {'X'}, {'Y'}]",0.4158470562570141,0.8703746002740977,375,"{0.0: 176, 1.0: 199}",0.0169830169830169,0.0471750471750471,True,0.9040558581031114
"[{'N'}, {'Y'}, {'V'}]",0.4146344771942727,0.8720953326713008,402,"{1.0: 190, 0.0: 212}",0.0109890109890109,0.0437062937062937,True,0.9040558581031114
"[{'M'}, {'Y'}, {'T'}]",0.4144376129406942,0.8714633404320049,363,"{1.0: 173, 0.0: 190}",0.0269730269730269,0.048166119594691,True,0.9040558581031114
